13:26:14.254 DEBUG - addCar objectCar{id=0, brandCar=BMW, fio='Александр', defect=CARBODY, desc='царапина', garage=ru.avdey.autogarage.app.model.entity.auto.Garage@2781e022}
13:26:14.254 DEBUG - addCar objectCar{id=0, brandCar=AUDI, fio='Наталья', defect=WHEEL, desc='прокол колеса', garage=ru.avdey.autogarage.app.model.entity.auto.Garage@26a7b76d}
13:26:14.332 DEBUG - addCar objectCar{id=0, brandCar=BMW, fio='Александр', defect=CARBODY, desc='царапина', garage=ru.avdey.autogarage.app.model.entity.auto.Garage@4cf4d528}
13:26:14.332 DEBUG - addCar objectCar{id=0, brandCar=AUDI, fio='Наталья', defect=WHEEL, desc='прокол колеса', garage=ru.avdey.autogarage.app.model.entity.auto.Garage@548ad73b}
13:26:14.347 DEBUG - addCar objectCar{id=0, brandCar=BMW, fio='Александр', defect=CARBODY, desc='царапина', garage=ru.avdey.autogarage.app.model.entity.auto.Garage@704921a5}
13:26:14.347 DEBUG - addCar objectCar{id=0, brandCar=AUDI, fio='Наталья', defect=WHEEL, desc='прокол колеса', garage=ru.avdey.autogarage.app.model.entity.auto.Garage@704921a5}
13:26:14.347 DEBUG - addCar objectCar{id=0, brandCar=BMW, fio='Александр', defect=CARBODY, desc='царапина', garage=ru.avdey.autogarage.app.model.entity.auto.Garage@7a36aefa}
13:26:14.363 DEBUG - addCar objectCar{id=0, brandCar=RENO, fio='Ирина', defect=WHEEL, desc='сдуло колесо', garage=ru.avdey.autogarage.app.model.entity.auto.Garage@7a36aefa}
13:26:14.363 DEBUG - addCar objectCar{id=0, brandCar=AUDI, fio='Наталья', defect=WHEEL, desc='прокол колеса', garage=ru.avdey.autogarage.app.model.entity.auto.Garage@10d59286}
13:34:30.609 DEBUG - addCar objectCar{id=0, brandCar=BMW, fio='Александр', defect=CARBODY, desc='царапина', garage=ru.avdey.autogarage.app.model.entity.auto.Garage@1b68ddbd}
13:34:30.609 DEBUG - addCar objectCar{id=0, brandCar=RENO, fio='Ирина', defect=WHEEL, desc='сдуло колесо', garage=ru.avdey.autogarage.app.model.entity.auto.Garage@1b68ddbd}
